Date,Ticker,Price
2021-06-24 00:00:00-04:00,CM.TO,57.40817642211914
2021-06-25 00:00:00-04:00,CM.TO,57.16987991333008
2021-06-28 00:00:00-04:00,CM.TO,56.228553771972656
2021-06-29 00:00:00-04:00,CM.TO,55.79562759399414
2021-06-30 00:00:00-04:00,CM.TO,56.04584503173828
2021-07-02 00:00:00-04:00,CM.TO,56.188838958740234
2021-07-05 00:00:00-04:00,CM.TO,56.26827621459961
2021-07-06 00:00:00-04:00,CM.TO,56.228553771972656
2021-07-07 00:00:00-04:00,CM.TO,56.272254943847656
2021-07-08 00:00:00-04:00,CM.TO,55.77577590942383
2021-07-09 00:00:00-04:00,CM.TO,56.34770965576172
2021-07-12 00:00:00-04:00,CM.TO,56.7290153503418
2021-07-13 00:00:00-04:00,CM.TO,56.90773391723633
2021-07-14 00:00:00-04:00,CM.TO,56.939510345458984
2021-07-15 00:00:00-04:00,CM.TO,57.074546813964844
2021-07-16 00:00:00-04:00,CM.TO,56.7290153503418
2021-07-19 00:00:00-04:00,CM.TO,55.84331130981445
2021-07-20 00:00:00-04:00,CM.TO,56.00613784790039
2021-07-21 00:00:00-04:00,CM.TO,56.62176513671875
2021-07-22 00:00:00-04:00,CM.TO,56.60588836669922
2021-07-23 00:00:00-04:00,CM.TO,56.844181060791016
2021-07-26 00:00:00-04:00,CM.TO,57.25723648071289
2021-07-27 00:00:00-04:00,CM.TO,57.39228439331055
2021-07-28 00:00:00-04:00,CM.TO,57.62266159057617
2021-07-29 00:00:00-04:00,CM.TO,57.91658401489258
2021-07-30 00:00:00-04:00,CM.TO,57.618690490722656
2021-08-03 00:00:00-04:00,CM.TO,56.96332931518555
2021-08-04 00:00:00-04:00,CM.TO,57.2850456237793
2021-08-05 00:00:00-04:00,CM.TO,57.590885162353516
2021-08-06 00:00:00-04:00,CM.TO,58.54808044433594
2021-08-09 00:00:00-04:00,CM.TO,58.39716339111328
2021-08-10 00:00:00-04:00,CM.TO,58.55205535888672
2021-08-11 00:00:00-04:00,CM.TO,58.81817626953125
2021-08-12 00:00:00-04:00,CM.TO,58.97703170776367
2021-08-13 00:00:00-04:00,CM.TO,59.23122787475586
2021-08-16 00:00:00-04:00,CM.TO,59.23122787475586
2021-08-17 00:00:00-04:00,CM.TO,58.746681213378906
2021-08-18 00:00:00-04:00,CM.TO,58.901573181152344
2021-08-19 00:00:00-04:00,CM.TO,58.32566833496094
2021-08-20 00:00:00-04:00,CM.TO,58.627525329589844
2021-08-23 00:00:00-04:00,CM.TO,59.03264236450195
2021-08-24 00:00:00-04:00,CM.TO,59.469547271728516
2021-08-25 00:00:00-04:00,CM.TO,60.116939544677734
2021-08-26 00:00:00-04:00,CM.TO,58.857879638671875
2021-08-27 00:00:00-04:00,CM.TO,58.17472839355469
2021-08-30 00:00:00-04:00,CM.TO,57.821250915527344
2021-08-31 00:00:00-04:00,CM.TO,57.646484375
2021-09-01 00:00:00-04:00,CM.TO,57.670318603515625
2021-09-02 00:00:00-04:00,CM.TO,57.868896484375
2021-09-03 00:00:00-04:00,CM.TO,57.81727600097656
2021-09-07 00:00:00-04:00,CM.TO,57.98806381225586
2021-09-08 00:00:00-04:00,CM.TO,57.841102600097656
2021-09-09 00:00:00-04:00,CM.TO,58.24225997924805
2021-09-10 00:00:00-04:00,CM.TO,58.09530258178711
2021-09-13 00:00:00-04:00,CM.TO,58.38127517700195
2021-09-14 00:00:00-04:00,CM.TO,57.86095428466797
2021-09-15 00:00:00-04:00,CM.TO,58.54808044433594
2021-09-16 00:00:00-04:00,CM.TO,58.80229187011719
2021-09-17 00:00:00-04:00,CM.TO,57.984092712402344
2021-09-20 00:00:00-04:00,CM.TO,56.7290153503418
2021-09-21 00:00:00-04:00,CM.TO,56.772701263427734
2021-09-22 00:00:00-04:00,CM.TO,57.070587158203125
2021-09-23 00:00:00-04:00,CM.TO,57.96820831298828
2021-09-24 00:00:00-04:00,CM.TO,57.92449951171875
2021-09-27 00:00:00-04:00,CM.TO,58.44205856323242
2021-09-28 00:00:00-04:00,CM.TO,57.306671142578125
2021-09-29 00:00:00-04:00,CM.TO,57.170265197753906
2021-09-30 00:00:00-04:00,CM.TO,56.56846237182617
2021-10-01 00:00:00-04:00,CM.TO,57.04187774658203
2021-10-04 00:00:00-04:00,CM.TO,57.170265197753906
2021-10-05 00:00:00-04:00,CM.TO,57.800140380859375
2021-10-06 00:00:00-04:00,CM.TO,57.77205276489258
2021-10-07 00:00:00-04:00,CM.TO,58.2173957824707
2021-10-08 00:00:00-04:00,CM.TO,58.61457824707031
2021-10-12 00:00:00-04:00,CM.TO,58.32570266723633
2021-10-13 00:00:00-04:00,CM.TO,57.9726448059082
2021-10-14 00:00:00-04:00,CM.TO,58.542354583740234
2021-10-15 00:00:00-04:00,CM.TO,59.20433807373047
2021-10-18 00:00:00-04:00,CM.TO,59.31264114379883
2021-10-19 00:00:00-04:00,CM.TO,59.364810943603516
2021-10-20 00:00:00-04:00,CM.TO,59.649662017822266
2021-10-21 00:00:00-04:00,CM.TO,59.70180892944336
2021-10-22 00:00:00-04:00,CM.TO,60.18324279785156
2021-10-25 00:00:00-04:00,CM.TO,60.431968688964844
2021-10-26 00:00:00-04:00,CM.TO,60.62054443359375
2021-10-27 00:00:00-04:00,CM.TO,60.27951431274414
2021-10-28 00:00:00-04:00,CM.TO,60.42796325683594
2021-10-29 00:00:00-04:00,CM.TO,60.24742126464844
2021-11-01 00:00:00-04:00,CM.TO,60.568389892578125
2021-11-02 00:00:00-04:00,CM.TO,60.7529296875
2021-11-03 00:00:00-04:00,CM.TO,61.081912994384766
2021-11-04 00:00:00-04:00,CM.TO,60.14311981201172
2021-11-05 00:00:00-04:00,CM.TO,59.70180892944336
2021-11-08 00:00:00-05:00,CM.TO,59.20433807373047
2021-11-09 00:00:00-05:00,CM.TO,59.54935836791992
2021-11-10 00:00:00-05:00,CM.TO,59.81413650512695
2021-11-11 00:00:00-05:00,CM.TO,60.00270080566406
2021-11-12 00:00:00-05:00,CM.TO,60.20732116699219
2021-11-15 00:00:00-05:00,CM.TO,59.91844940185547
2021-11-16 00:00:00-05:00,CM.TO,59.790077209472656
2021-11-17 00:00:00-05:00,CM.TO,59.84221267700195
2021-11-18 00:00:00-05:00,CM.TO,59.5292854309082
2021-11-19 00:00:00-05:00,CM.TO,59.01576232910156
2021-11-22 00:00:00-05:00,CM.TO,59.62156295776367
2021-11-23 00:00:00-05:00,CM.TO,59.83018493652344
2021-11-24 00:00:00-05:00,CM.TO,59.761985778808594
2021-11-25 00:00:00-05:00,CM.TO,59.92246627807617
2021-11-26 00:00:00-05:00,CM.TO,58.79912567138672
2021-11-29 00:00:00-05:00,CM.TO,58.40996170043945
2021-11-30 00:00:00-05:00,CM.TO,57.150184631347656
2021-12-01 00:00:00-05:00,CM.TO,56.67277145385742
2021-12-02 00:00:00-05:00,CM.TO,55.07603073120117
2021-12-03 00:00:00-05:00,CM.TO,56.207401275634766
2021-12-06 00:00:00-05:00,CM.TO,56.69684982299805
2021-12-07 00:00:00-05:00,CM.TO,56.9817008972168
2021-12-08 00:00:00-05:00,CM.TO,57.04588317871094
2021-12-09 00:00:00-05:00,CM.TO,56.88541030883789
2021-12-10 00:00:00-05:00,CM.TO,56.9817008972168
2021-12-13 00:00:00-05:00,CM.TO,56.805179595947266
2021-12-14 00:00:00-05:00,CM.TO,57.11410140991211
2021-12-15 00:00:00-05:00,CM.TO,57.53936004638672
2021-12-16 00:00:00-05:00,CM.TO,58.4781608581543
2021-12-17 00:00:00-05:00,CM.TO,58.17325973510742
2021-12-20 00:00:00-05:00,CM.TO,58.05290222167969
2021-12-21 00:00:00-05:00,CM.TO,58.61857223510742
2021-12-22 00:00:00-05:00,CM.TO,59.05989456176758
2021-12-23 00:00:00-05:00,CM.TO,59.541324615478516
2021-12-24 00:00:00-05:00,CM.TO,59.57782745361328
2021-12-29 00:00:00-05:00,CM.TO,59.987491607666016
2021-12-30 00:00:00-05:00,CM.TO,59.813072204589844
2021-12-31 00:00:00-05:00,CM.TO,59.804969787597656
2022-01-04 00:00:00-05:00,CM.TO,60.68916702270508
2022-01-05 00:00:00-05:00,CM.TO,61.45573425292969
2022-01-06 00:00:00-05:00,CM.TO,62.75364303588867
2022-01-07 00:00:00-05:00,CM.TO,63.62565612792969
2022-01-10 00:00:00-05:00,CM.TO,63.702720642089844
2022-01-11 00:00:00-05:00,CM.TO,64.85055541992188
2022-01-12 00:00:00-05:00,CM.TO,65.33726501464844
2022-01-13 00:00:00-05:00,CM.TO,66.38372039794922
2022-01-14 00:00:00-05:00,CM.TO,66.96370697021484
2022-01-17 00:00:00-05:00,CM.TO,67.36121368408203
2022-01-18 00:00:00-05:00,CM.TO,67.05294799804688
2022-01-19 00:00:00-05:00,CM.TO,66.24581146240234
2022-01-20 00:00:00-05:00,CM.TO,65.64147186279297
2022-01-21 00:00:00-05:00,CM.TO,64.94790649414062
2022-01-24 00:00:00-05:00,CM.TO,64.18944549560547
2022-01-25 00:00:00-05:00,CM.TO,64.7491683959961
2022-01-26 00:00:00-05:00,CM.TO,65.35350036621094
2022-01-27 00:00:00-05:00,CM.TO,64.64775085449219
2022-01-28 00:00:00-05:00,CM.TO,64.47740936279297
2022-01-31 00:00:00-05:00,CM.TO,64.74104309082031
2022-02-01 00:00:00-05:00,CM.TO,65.50358581542969
2022-02-02 00:00:00-05:00,CM.TO,66.31880950927734
2022-02-03 00:00:00-05:00,CM.TO,66.15252685546875
2022-02-04 00:00:00-05:00,CM.TO,66.44050598144531
2022-02-07 00:00:00-05:00,CM.TO,66.8785400390625
2022-02-08 00:00:00-05:00,CM.TO,67.51127624511719
2022-02-09 00:00:00-05:00,CM.TO,66.90693664550781
2022-02-10 00:00:00-05:00,CM.TO,66.21336364746094
2022-02-11 00:00:00-05:00,CM.TO,66.19308471679688
2022-02-14 00:00:00-05:00,CM.TO,65.4954605102539
2022-02-15 00:00:00-05:00,CM.TO,66.0714111328125
2022-02-16 00:00:00-05:00,CM.TO,66.07544708251953
2022-02-17 00:00:00-05:00,CM.TO,65.21153259277344
2022-02-18 00:00:00-05:00,CM.TO,65.14259338378906
2022-02-22 00:00:00-05:00,CM.TO,65.50762939453125
2022-02-23 00:00:00-05:00,CM.TO,65.05742645263672
2022-02-24 00:00:00-05:00,CM.TO,62.82664489746094
2022-02-25 00:00:00-05:00,CM.TO,66.35939025878906
2022-02-28 00:00:00-05:00,CM.TO,65.069580078125
2022-03-01 00:00:00-05:00,CM.TO,63.82036590576172
