Date,CM.TO,RY.TO,TD.TO,BNS.TO,BMO.TO,NA.TO,JPM,BAC,WFC,GS
2021-06-24 00:00:00-04:00,57.40817642211914,104.75777435302734,70.20659637451172,60.61130142211914,103.19166564941406,77.90064239501953,134.40753173828125,36.12482833862305,40.05451583862305,326.679931640625
2021-06-25 00:00:00-04:00,57.16987991333008,105.1410903930664,70.63348388671875,61.10230255126953,103.9105224609375,78.48699951171875,135.76473999023438,36.82379150390625,41.11837387084961,326.6976623535156
2021-06-28 00:00:00-04:00,56.228553771972656,104.60774230957031,69.99722290039062,60.61130142211914,102.64241790771484,78.3697280883789,136.01150512695312,36.77070236206055,40.59531784057617,326.6444396972656
2021-06-29 00:00:00-04:00,55.79562759399414,104.71610260009766,70.02137756347656,60.86811828613281,102.25474548339844,78.31110382080078,135.84405517578125,36.17789840698242,39.708763122558594,330.1083984375
2021-06-30 00:00:00-04:00,56.04584503173828,104.65776824951172,69.9649887084961,60.898338317871094,102.62625122070312,77.70800018310547,137.07786560058594,36.47872543334961,40.152034759521484,336.2301025390625
2021-07-02 00:00:00-04:00,56.188838958740234,105.02442932128906,70.06968688964844,61.18537902832031,102.65049743652344,78.059814453125,138.30210876464844,36.40794372558594,39.95698547363281,331.4727478027344
2021-07-05 00:00:00-04:00,56.26827621459961,105.31608581542969,70.58514404296875,61.23120880126953,102.83629608154297,78.56240844726562,,,,
2021-07-06 00:00:00-04:00,56.228553771972656,104.9827651977539,70.27103424072266,60.60483932495117,102.3193359375,78.26921844482422,135.9798126220703,35.45240783691406,38.55624008178711,327.6632995605469
2021-07-07 00:00:00-04:00,56.272254943847656,104.957763671875,70.02137756347656,60.360408782958984,102.4485855102539,78.11006927490234,136.1393585205078,35.169281005859375,38.4764404296875,325.7231750488281
2021-07-08 00:00:00-04:00,55.77577590942383,104.81609344482422,68.07069396972656,59.52779769897461,100.94628143310547,76.9959945678711,133.7904510498047,34.31105422973633,37.51896667480469,317.9891357421875
2021-07-09 00:00:00-04:00,56.34770965576172,105.30776977539062,68.84282684326172,60.268760681152344,101.86705017089844,78.31946563720703,138.07167053222656,35.42586898803711,38.9286003112793,329.34649658203125
2021-07-12 00:00:00-04:00,56.7290153503418,106.43276977539062,69.1273193359375,60.5666618347168,102.57781219482422,78.97284698486328,140.04830932617188,35.947872161865234,39.15022659301758,337.0893249511719
2021-07-13 00:00:00-04:00,56.90773391723633,106.64942932128906,68.84282684326172,60.4215087890625,102.39204406738281,78.92259216308594,137.9652557373047,35.2666130065918,38.32573699951172,333.0850830078125
2021-07-14 00:00:00-04:00,56.939510345458984,107.28275299072266,68.80220794677734,60.39860153198242,102.10934448242188,79.0984878540039,137.49549865722656,34.381839752197266,39.85060501098633,331.6853942871094
2021-07-15 00:00:00-04:00,57.074546813964844,107.75774383544922,68.80220794677734,60.5131950378418,102.04473114013672,79.45028686523438,137.79690551757812,34.35530090332031,39.89492416381836,330.755126953125
2021-07-16 00:00:00-04:00,56.7290153503418,106.28275299072266,68.2901382446289,59.97846603393555,101.05126190185547,79.3330078125,134.6502227783203,33.5501708984375,39.25661849975586,323.1805725097656
2021-07-19 00:00:00-04:00,55.84331130981445,104.6161117553711,66.4938735961914,58.64171600341797,98.83817291259766,77.38968658447266,130.2715301513672,32.674251556396484,38.16614532470703,314.2506408691406
2021-07-20 00:00:00-04:00,56.00613784790039,104.9910888671875,66.9246597290039,59.31393051147461,99.4600830078125,78.11006927490234,132.70018005371094,33.3466682434082,39.75307846069336,323.1451416015625
